campaign_id,product_scope,supplier_name,contact_name,country,platform,company_url,product_url,public_evidence,company_type_claim,custom_moq_claim,message_variant,sent_at_edt,send_proof,response_status,response_summary,fit_score,decision,followup_sent_at_edt,notes
D001,denim,"Guangzhou Yijia Manufacturing Co.,ltd","Mia Mia",China,Alibaba,https://gzike.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Side-Laced-Jeans-Classic-Black-Men_1601439046457.html,"Directory lists men's and women's jeans; black denim offer; profile review link",manufacturer claim,,denim,2026-08-04 22:16,"Alibaba success receipt MC1IDX1euLMtTiw5qcXVgPzl1LVin4L4cDDGlsme-Pb9VsevU2fEKsPJdTXBEbjj8eozSO6",awaiting,,0,evidence_pending,,No attachment or commitment
D002,denim,"Guangzhou Tsra Garment Co., Ltd.","Tsra Yan",China,Alibaba,https://tsra.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Women-s-Breathable-Elastic-Low-Rise_1601392522458.html,"Profile claims manufacturer/trader; 201-300 staff; Guangzhou factory address; jeans flow and OEM/design capability",manufacturer_and_trader claim,,denim,2026-08-04 22:21,"Alibaba success receipt MC1IDX152Q_1uxqZvRW0g4Ge_n_h1Gq2-rjJVTHQrWHmA9w4xKNl7wUrNRTY-N-dA-8MWyx",awaiting,,0,evidence_pending,,No attachment or commitment; public claims require reconciliation
D026,denim,"Tomato Guangzhou Garments Co., Ltd.",,China,Alibaba,https://gztomato.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/High-Quality-Vintage-Custom-Manufacturer-Cotton-1601598130628.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1ewtKEUsUwciU-MIL3JA-arw4JSag9nX4rSwUKGFvr6fTa1_k6AIPO92X3YGhtwrp,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D027,denim,"Shishi Mengdiqiu Garment Co., Ltd.",,China,Alibaba,https://mengdiqiu.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Jeans-Manufacturer-Customized-Vintage-Men-s-1601242049723.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX15h19Y3IpQlFjB-lc0ht1VlBBD5ksFnJmwtkSXbt_wjxKR9RdkkxsANgr3OukRCvu,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D028,denim,"Dongguan Bayee Industrial Co., Ltd.",,China,Alibaba,https://bayee-label.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Custom-High-Quality-Vintage-Baggy-Fashion-1601203645775.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1DC2lF65VPGapk5o8owLMnp-dU4jI93xNTXg2yHxwlu2q--be8iK8gKY3Pr8jahK_,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D029,denim,"Guangzhou Disai Garment Co., Ltd.",,China,Alibaba,https://disaifuzhuang.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Custom-Jeans-Manufacturer-Multi-Pocket-High-1601411356318.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1ncEp2GpS_OwJ6OMwaQ3yCB3mW-SQck3y3TTxwHUZPZfhcYuWTYMzRWM5CK4Y8_5y,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D030,denim,"Guangzhou Winone Technology Co., Ltd.",,China,Alibaba,https://winonejeans.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Custom-Men-s-Jeans-High-Quality-1601708119207.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX11YkbsEwIuo7O_T65F1SV8FmvnLVXjwaE4H9NhJ54VkFZ_6hxtvW3H00iW2HGg_jE,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D031,denim,"Guangzhou Ruibeier Industrial Co., Ltd.",,China,Alibaba,https://wintress.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Custom-High-Quality-Vintage-Baggy-Fashion-1601268373294.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1v__ilIbkENiY5L8s1zouqzbPX10ldxoZwZCEnw3nteOF3yRTr2Y-Fmj1FPsstSSF,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D032,denim,Dongguan Humen Jinling Garment Factory,,China,Alibaba,https://jl88888.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Colombian-Jeans-Custom-Jorts-Men-Denim-1601651582418.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1a2dHler3dO7jS13lsk0cUbhw50IeTDPiV6LcKr8UraGTM5HZKJZkwpjnJFdmIP7L,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D033,denim,"Dongguan Xikaixi Garment Co., Ltd.",,China,Alibaba,https://xikaixi.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Streetwear-Manufacturer-Mens-Shorts-Slim-Fit-1601428846088.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1NHCBEu9uAP0S4sYyTJMsb2hw13eS6cV14KVkDXe4GtwIZzoif1Hrxt25fb0aGn_I,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D034,denim,"Dongguan Qifan Garment Co.,Ltd.",,China,Alibaba,https://qifanfashion.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Custom-Baggy-Raw-Indigo-Japanese-Green-1601670910910.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1cwhn7poHTY2DtJRRTOW01HQir6uOKjJwTXuQ7JMa7TM_CVIN3KGQ3MzJNnbApb3X,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D035,denim,"Guangzhou Youyuan Trade Co., Ltd.",,China,Alibaba,https://gz-youyuan.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Distressed-Jeans-Denim-Baggy-Pants-Men-1601707747943.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1lLUJOJFKPpGqRE9KscrXIuQ-fjEmiPqTAocpqv-wx0e7uL0gKmh6kFn0cbe4-shg,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D036,denim,"Ruyi Guangzhou Industry Co., Ltd.",,China,Alibaba,https://loui.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/New-design-multi-pocket-digital-printing-1601275559525.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1yZ3VOrZFBNzV6NRUvzUZM-gxzJmhfonc-LmWULS3shLkE0sFBawWLp6GeuNcAc8g,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D037,denim,"Dongguan Qiaoshou Garment Co., Ltd.",,China,Alibaba,https://dgqiaoshou.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Denim-Manufacturer-Custom-Jeans-Light-Blue-1601801146960.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1WDk7leJc_MXqP43ELnF4OZcazylpM_U4s-PStYIwaJVIFu4pduU3f5nqvGBmrm-B,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D038,denim,"Dongguan Mei Yue Clothing Co., Ltd.",,China,Alibaba,https://meiyue188.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Custom-Jeans-Manufacturer-Straight-leg-Baggy-1601582790276.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1_kC2UUjmM-GChRVURYC7gokjaRUx54TSklc5GV2Bo8C93a1ONcjHNvAcsFLlqA6w,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D039,denim,"Guangdong Textiles Imp.&exp. Co., Limited",,China,Alibaba,https://gdtex6.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Streetwear-ladies-jeans-trousers-denim-woman-1600343584616.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04,Alibaba success receipt MC1IDX1bK_gnTvML-cdh7cNATFW5T7Rq-qMgCILVtYGLIAzm91hkxotHukzfgq-WSUhcKKg,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
D040,denim,JADUKA INTERNATIONAL,,Pakistan,Alibaba,https://jadukainternational.trustpass.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/High-Quality-Mens-Casual-Baggy-Jogger_11000029389308.html,Public product listing only; capability remains unverified,unverified platform claim,,denim,2026-08-04 23:07,Message Center sent 2026-08-04 23:07 EDT,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
J001,jacket,"Dongguan Purple Deer Garment Co., Ltd.",,China,Alibaba,https://ppdeer.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Jacket-Manufacturer-Customized-Cotton-Retro-Double-1601614762723.html,Public product listing only; capability remains unverified,unverified platform claim,,jacket,2026-08-04,Alibaba success receipt MC1IDX1TpS9HlKRN-5IO-2GIQWdCt3_8AaqqiUHBI061DeYld5iDQ7n29Z7w9lJyrT1gVdy,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
J002,jacket,"Dongguan Handsome Garment Co., Ltd.",,China,Alibaba,https://dghandsomefashion.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Jacket-Manufacturer-Mens-Distressed-Quilted-Heavyweight-1601862713468.html,Public product listing only; capability remains unverified,unverified platform claim,,jacket,2026-08-04,Alibaba success receipt MC1IDX1Us_HDMVYzESupv3KMuL6WqitLjWqMW2CSgPZGERpxDZNpjDiEKNpk3NtwRu9tRGw,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
J003,jacket,"Number One Industrial Co., Ltd.",,China,Alibaba,https://noonegarment.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Workwear-Jacket-Manufacture-Quilted-Bomber-Jacket-1601563994543.html,Public product listing only; capability remains unverified,unverified platform claim,,jacket,2026-08-04,Alibaba success receipt MC1IDX1sI9H-4vfxODedSo2VH0fdddgoxLdqvNjBZ4xHVOoXoi4RlsPtfwlTfP_uUOuPLH_,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
J004,jacket,"Dongguan Yimeng Garment Co., Ltd.",,China,Alibaba,https://yimenggarment.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/YM-Custom-Men-Casual-Jacket-Quilted-1601788955255.html,Public product listing only; capability remains unverified,unverified platform claim,,jacket,2026-08-04,Alibaba success receipt MC1IDX1NmwxGHEzNhXEK9FOsoZkp5ns8N05TSPN3Ou1IjVKNbftGPrDReZzsxwG5hb8cBpO,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
J005,jacket,"Yiwu Ningzi Apparel Co., Ltd.",,China,Alibaba,https://chicpinks.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Custom-Women-Printed-Quilted-Jacket-Zip-1601391337278.html,Public product listing only; capability remains unverified,unverified platform claim,,jacket,2026-08-04,Alibaba success receipt MC1IDX1g6390_KBoISsGyr9LbGprMvjLgyDhxdsY2Tked6xta-ZlBD3Qogm2SnbmZ-VL2qp,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
J006,jacket,"Dongguan Rainbow Spray Co., Ltd.",,China,Alibaba,https://rainbowwing.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Rainbow-Spray-High-Quality-Men-s-1601165550383.html,Public product listing only; capability remains unverified,unverified platform claim,,jacket,2026-08-04,Alibaba success receipt MC1IDX1tW1HzPM0iFBISfmSuqB5PShOayXRBy7mihQc4KgbAJO75T54NTc4vaSWeAuwfQmn,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
J007,jacket,"Dongguan Yatisen Garment Co., Ltd.",,China,Alibaba,https://yatisen.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Manufacturer-Men-Custom-Winter-Coat-Quilted-1600357516456.html,Public product listing only; capability remains unverified,unverified platform claim,,jacket,2026-08-04,Alibaba success receipt MC1IDX1lpm7HC0OAFL9mXBr0GCg0cMXd0iT4S2ZyqaVgUCmtAcli5_n5sMSNOADmkxn9isz,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
J008,jacket,"Jiaxing Supertec Apparel Co., Ltd.",,China,Alibaba,https://isportswear.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Hot-sales-outdoor-warm-utility-bubble-1600913312288.html,Public product listing only; capability remains unverified,unverified platform claim,,jacket,2026-08-04,Alibaba success receipt MC1IDX1tr0KwVm2Kibsa7wA6PYCl8abiWBtN1GYc94miDhCQvy43CBVorYPBYi_71SMxjkf,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
J009,jacket,"Yiwu Max Apparel Co., Ltd.",,China,Alibaba,https://mjewel.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/plus-size-vintage-ladies-women-s-1600910700037.html,Public product listing only; capability remains unverified,unverified platform claim,,jacket,2026-08-04,Alibaba success receipt MC1IDX1X-7kr85UFrmmAfYSxZdwvQjtYuvF_SScInTLCw59Pd0P2QE5gwnGC8yYrC9pnq9A,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
J010,jacket,"Shenzhen Doger Clothing Co., Ltd.",,China,Alibaba,https://doger.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Custom-Jacket-Manufacturer-Men-Olive-Green-1601864970220.html,Public product listing only; capability remains unverified,unverified platform claim,,jacket,2026-08-04,Alibaba success receipt MC1IDX1PG09uKZbFR5HZpywzUEbuhyjkA_Bnkc1sS7QbBXQHgNxt8Sw9gUCHRxunP_1jzT7,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
J011,jacket,"Dongguan Huiyifeng Garment Co., Ltd.",,China,Alibaba,https://huiyifeng.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Detroit-Work-Workwear-Jacket-Manufacturer-Custom-1601639848333.html,Public product listing only; capability remains unverified,unverified platform claim,,jacket,2026-08-04,Alibaba success receipt MC1IDX1HBTP6bjKyvLCxT40lAKcoq0FmjrkpGZk21_S0HYv_bkf6rcaNFlxl9EUm5IVNc8B,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
J012,jacket,"Dongguan Helobro Garment Co., Ltd.",,China,Alibaba,https://helobro.en.alibaba.com/company_profile.html,https://www.alibaba.com/product-detail/Custom-Quilted-Bubble-Jacket-Manufacturers-Designer-1601446824921.html,Public product listing only; capability remains unverified,unverified platform claim,,jacket,2026-08-04,Alibaba success receipt MC1IDX1Uk7MiNOqwC2enxD4c6LSp8oMWuQkL4TYBzo2E11lFLNzwmA2pXUp31IaCmIWmlvV,awaiting,,0,evidence_pending,,"No attachment, order or spend commitment"
