brand,campaign_or_product,source_page_url,access_date,image_category,reason_included,visual_principles,local_reference_file,usage_note
Jacquemus,La Croisiere poster,https://www.jacquemus.com/en_us/collections/collections-jacquemus-page.html,2026-07-10,show poster,Useful for controlled interior geometry.,symmetry; architectural lines; warm material field,references/jacquemus/official/0-JACQUEMUS-POSTER-SHOW_LACROISIERE_2.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,La Casa poster,https://www.jacquemus.com/en_us/collections/collections-jacquemus-page.html,2026-07-10,show poster,Contrasts monumental setting against minimal typography.,aerial scale; stone; water; text placement,references/jacquemus/official/0-JACQUEMUS-POSTER-SHOW-LACASA.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,Les Sculptures poster,https://www.jacquemus.com/en_us/collections/collections-jacquemus-page.html,2026-07-10,show poster,Demonstrates sculpture as visual support rather than decoration.,object/figure tension; stone; geometric rhythm,references/jacquemus/official/0-JACQUEMUS-POSTER-SHOW-LESCULPTURES.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,Le Chouchou poster,https://www.jacquemus.com/en_us/collections/collections-jacquemus-page.html,2026-07-10,show poster,Strong example of fashion scale in a recognizable site.,long perspective; repetition; saturated accent,references/jacquemus/official/0-JACQUEMUS-POSTER-SHOW-LECHOUCHOU.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,Le Raphia poster,https://www.jacquemus.com/en_us/collections/collections-jacquemus-page.html,2026-07-10,show poster,Useful for suspended material and controlled visual noise.,movement; texture; atmospheric depth,references/jacquemus/official/0-JACQUEMUS-POSTER-SHOW-LERAPHIA.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,Le Papier poster,https://www.jacquemus.com/en_us/collections/collections-jacquemus-page.html,2026-07-10,show poster,Teaches hard-shadow legibility in a pale environment.,hard sun; scale; warm neutral palette,references/jacquemus/official/0-JACQUEMUS-POSTER-SHOW-LEPAPIER.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,Le Splash poster,https://www.jacquemus.com/en_us/collections/collections-jacquemus-page.html,2026-07-10,show poster,Adds wet surface and tropical color behavior.,water; saturation restraint; distant scale,references/jacquemus/official/0-JACQUEMUS-POSTER-SHOW-LESPLASH.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,La Montagne poster,https://www.jacquemus.com/en_us/collections/collections-jacquemus-page.html,2026-07-10,show poster,Shows figures and color at landscape scale.,negative space; horizon; grouped silhouettes,references/jacquemus/official/0-JACQUEMUS-POSTER-SHOW-LAMONTAGNE.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,La Croisiere architectural set,https://www.jacquemus.com/en_us/collections/collections-jacquemus-page.html,2026-07-10,set/environment,Primary camera-match and architectural-light master study.,one-point perspective; practical lights; reflective wood,references/jacquemus/official/0-JACQUEMUS_LACROISIERE_SET_3.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Jacquemus,La Casa model look,https://www.jacquemus.com/en_us/collections/collections-jacquemus-page.html,2026-07-10,model hero,Primary clean sunlit model master study.,minimal horizon; pastel separation; centered movement,references/jacquemus/official/Jacquemus-La-Casa-Look-4x5-05-NO-LOGO.avif,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Summer collection hero,https://www.rhodeskin.com/collections/shop,2026-07-10,campaign hero,Shows current brand-level composition and product clarity.,clean hierarchy; warm neutral; controlled skin,references/rhode/official/collection-page-summer-desktop_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Eye prep collection hero,https://www.rhodeskin.com/collections/shop,2026-07-10,campaign hero,Useful for macro beauty framing.,tight crop; tonal harmony; eye/skin detail,references/rhode/official/collection-page-eye-prep_d88d0dcd-dcec-48e7-a7a3-6bfe30798130_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Highlight Milk product card,https://www.rhodeskin.com/collections/shop,2026-07-10,product still,Clear baseline for commercial product accuracy.,soft neutral; readable shape; clean edge,references/rhode/official/highlight-milk-1-product-card_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Highlight Milk hover,https://www.rhodeskin.com/collections/shop,2026-07-10,skin macro,Primary dewy-skin master study.,controlled specular; pore retention; macro crop,references/rhode/official/highlight-milk-1-hover_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Soft Glam set product card,https://www.rhodeskin.com/collections/shop,2026-07-10,product grouping,Tests grouping without clutter.,repetition; tonal palette; product hierarchy,references/rhode/official/soft-glam-set-product-card_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Soft Glam set hover,https://www.rhodeskin.com/collections/shop,2026-07-10,model/product,Connects finished makeup to the product set.,skin/product echo; intimate crop; soft contrast,references/rhode/official/soft-glam-set-hover_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Pocket Brush product card,https://www.rhodeskin.com/collections/shop,2026-07-10,product still,Simple form useful for edge and material analysis.,white-on-neutral separation; soft shadow,references/rhode/official/pocket-brush-product-card_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Pocket Brush hover,https://www.rhodeskin.com/collections/shop,2026-07-10,product in use,Shows hand/product scale and tactile function.,hand pose; macro detail; controlled highlights,references/rhode/official/brush-hover_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Pocket Bronze product card,https://www.rhodeskin.com/collections/shop,2026-07-10,product still,Useful for warm product against warm background.,hue separation; soft gradient; geometry,references/rhode/official/bake-product-card_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Pocket Bronze hover,https://www.rhodeskin.com/collections/shop,2026-07-10,product in use,Tests skin/product color relationship.,tonal warmth; skin truth; tight crop,references/rhode/official/bake-hover_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Sun-kissed set product card,https://www.rhodeskin.com/collections/shop,2026-07-10,product grouping,Strong restrained grouping reference.,overlap; negative space; repeated shapes,references/rhode/official/sun-kissed-set-product-card_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Sun-kissed set hover,https://www.rhodeskin.com/collections/shop,2026-07-10,model/product,Shows commercial clarity inside a campaign crop.,face/product hierarchy; warm highlights,references/rhode/official/sun-kissed-set-hover_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Collection content card,https://www.rhodeskin.com/collections/shop,2026-07-10,editorial,Adds non-grid campaign pacing.,clean whitespace; restrained prop; texture,references/rhode/official/collection-page-content-card-5_1c169020-a71d-4e54-a8b7-3c1c41f2c12c_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Lip Case bronze product card,https://www.rhodeskin.com/collections/shop,2026-07-10,product still,Shows unusual product form with clean readability.,single-object focus; molded surface; soft shadow,references/rhode/official/lip-case-bronze-product-card_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Lip Case bronze hover,https://www.rhodeskin.com/collections/shop,2026-07-10,product in context,Useful for product/hand scale and reflective edges.,hand crop; gloss control; tonal harmony,references/rhode/official/lipcase-bronze-hover_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Snap-on Lip Case product card,https://www.rhodeskin.com/collections/shop,2026-07-10,product still,Clean e-commerce presentation for shape matching.,centered object; restrained color; product truth,references/rhode/official/snap-on-colada-product-card_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Snap-on Lip Case hover,https://www.rhodeskin.com/collections/shop,2026-07-10,product in context,Shows tactile interaction without clutter.,hand/product relationship; clean background,references/rhode/official/snap-on-colada-hover_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Glazing Milk portrait hero,https://www.rhodeskin.com/products/glazing-milk,2026-07-10,campaign portrait,Primary portrait master study.,skin texture; soft neutral; controlled specular,references/rhode/official/milk-Hero-1_Desktop_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Glazing Milk product hero,https://www.rhodeskin.com/products/glazing-milk,2026-07-10,wet product still,Primary clean-product master study.,white-on-white; water film; edge control,references/rhode/official/glazing-milk-hero-desktop-final_1_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
Rhode,Glazing Milk close portrait,https://www.rhodeskin.com/products/glazing-milk,2026-07-10,skin macro,Second skin reference for comparison and consistency.,pore retention; soft transitions; highlight placement,references/rhode/official/milk-hero-4-desktop_2000x.webp,Reduced-resolution private educational reference; do not republish or use commercially.
